ticker,origin,model,horizon,mape,dir_acc,error
AAPL,2025-05-08,naive,5,0.062253372419079814,0.0,
AAPL,2025-05-08,gbm,5,0.06182705727183195,0.0,
AAPL,2025-05-08,arima,5,0.060994488787109245,0.0,
AAPL,2025-05-08,chronos,5,0.05189779200041613,1.0,
AAPL,2025-05-08,naive,21,0.039609171576414234,0.0,
AAPL,2025-05-08,gbm,21,0.03682547274194919,1.0,
AAPL,2025-05-08,arima,21,0.03526562880001742,1.0,
AAPL,2025-05-08,chronos,21,0.03025991982305932,1.0,
AAPL,2025-07-10,naive,5,0.006375569232669964,1.0,
AAPL,2025-07-10,gbm,5,0.00696014567663267,1.0,
AAPL,2025-07-10,arima,5,0.007085017171036589,1.0,
AAPL,2025-07-10,chronos,5,0.00768179305819851,1.0,
AAPL,2025-07-10,naive,21,0.018376523835953992,0.0,
AAPL,2025-07-10,gbm,21,0.018264731629629542,1.0,
AAPL,2025-07-10,arima,21,0.01828249627897552,1.0,
AAPL,2025-07-10,chronos,21,0.018903909897361633,0.0,
AAPL,2025-09-09,naive,5,0.021084395662957695,1.0,
AAPL,2025-09-09,gbm,5,0.021542552357877574,1.0,
AAPL,2025-09-09,arima,5,0.022299351456208143,1.0,
AAPL,2025-09-09,chronos,5,0.022081567170093824,1.0,
AAPL,2025-09-09,naive,21,0.050175700169208505,1.0,
AAPL,2025-09-09,gbm,21,0.04623770941793105,1.0,
AAPL,2025-09-09,arima,21,0.04520594015399463,1.0,
AAPL,2025-09-09,chronos,21,0.06923276573608027,0.0,
AAPL,2025-11-06,naive,5,0.010357395196890008,1.0,
AAPL,2025-11-06,gbm,5,0.0097715810800169,1.0,
AAPL,2025-11-06,arima,5,0.009138792495148438,1.0,
AAPL,2025-11-06,chronos,5,0.010075424418537487,1.0,
AAPL,2025-11-06,naive,21,0.022107847206456515,1.0,
AAPL,2025-11-06,gbm,21,0.01784179390814691,1.0,
AAPL,2025-11-06,arima,21,0.017298816220275633,1.0,
AAPL,2025-11-06,chronos,21,0.022960768543209394,0.0,
AAPL,2026-01-08,naive,5,0.0032800205387661084,0.0,
AAPL,2026-01-08,gbm,5,0.004238499997026561,0.0,
AAPL,2026-01-08,arima,5,0.004248517609664091,0.0,
AAPL,2026-01-08,chronos,5,0.012623657856336016,0.0,
AAPL,2026-01-08,naive,21,0.028316635565977813,1.0,
AAPL,2026-01-08,gbm,21,0.027657566093895285,1.0,
AAPL,2026-01-08,arima,21,0.02853745128744854,1.0,
AAPL,2026-01-08,chronos,21,0.02973382394168841,1.0,
AAPL,2026-03-11,naive,5,0.032771258645739154,0.0,
AAPL,2026-03-11,gbm,5,0.03377888116024088,0.0,
AAPL,2026-03-11,arima,5,0.034799206900745124,0.0,
AAPL,2026-03-11,chronos,5,0.04230574951168753,0.0,
AAPL,2026-03-11,naive,21,0.02955666107053961,0.0,
AAPL,2026-03-11,gbm,21,0.03466731094296168,0.0,
AAPL,2026-03-11,arima,21,0.036631106950913685,0.0,
AAPL,2026-03-11,chronos,21,0.030662331578084887,1.0,
MSFT,2025-05-08,naive,5,0.03429754365668434,0.0,
MSFT,2025-05-08,gbm,5,0.03340089043771427,0.0,
MSFT,2025-05-08,arima,5,0.034822718148198484,0.0,
MSFT,2025-05-08,chronos,5,0.039793104665384105,0.0,
MSFT,2025-05-08,naive,21,0.054047958558442674,0.0,
MSFT,2025-05-08,gbm,21,0.04952872907963502,0.0,
MSFT,2025-05-08,arima,21,0.052898066128004434,0.0,
MSFT,2025-05-08,chronos,21,0.05490662727368812,0.0,
MSFT,2025-07-10,naive,5,0.005219421300779124,1.0,
MSFT,2025-07-10,gbm,5,0.004544623049102031,1.0,
MSFT,2025-07-10,arima,5,0.0053491985841894974,1.0,
MSFT,2025-07-10,chronos,5,0.006682752634060837,1.0,
MSFT,2025-07-10,naive,21,0.021875808785960488,1.0,
MSFT,2025-07-10,gbm,21,0.016031612846408184,1.0,
MSFT,2025-07-10,arima,21,0.02083567342740376,1.0,
MSFT,2025-07-10,chronos,21,0.04113617544541405,0.0,
MSFT,2025-09-09,naive,5,0.017496643191333563,0.0,
MSFT,2025-09-09,gbm,5,0.016298050099956343,1.0,
MSFT,2025-09-09,arima,5,0.015609282683504136,1.0,
MSFT,2025-09-09,chronos,5,0.009923194723103018,1.0,
MSFT,2025-09-09,naive,21,0.02994151469193777,0.0,
MSFT,2025-09-09,gbm,21,0.02429661364172288,1.0,
MSFT,2025-09-09,arima,21,0.022851200025219905,1.0,
MSFT,2025-09-09,chronos,21,0.00921492368096112,1.0,
MSFT,2025-11-06,naive,5,0.008313790554670488,1.0,
MSFT,2025-11-06,gbm,5,0.008786670572504266,1.0,
MSFT,2025-11-06,arima,5,0.008505373656020013,1.0,
MSFT,2025-11-06,chronos,5,0.016464233065218055,1.0,
MSFT,2025-11-06,naive,21,0.033882019444968936,0.0,
MSFT,2025-11-06,gbm,21,0.03932164702170747,0.0,
MSFT,2025-11-06,arima,21,0.04080927628748728,0.0,
MSFT,2025-11-06,chronos,21,0.04693941195532397,0.0,
MSFT,2026-01-08,naive,5,0.03205364669444081,0.0,
MSFT,2026-01-08,gbm,5,0.0331266262439498,0.0,
MSFT,2026-01-08,arima,5,0.03393416072313787,0.0,
MSFT,2026-01-08,chronos,5,0.04335684866346625,0.0,
MSFT,2026-01-08,naive,21,0.08748409224750467,0.0,
MSFT,2026-01-08,gbm,21,0.09326797018107413,0.0,
MSFT,2026-01-08,arima,21,0.09491160445495081,0.0,
MSFT,2026-01-08,chronos,21,0.10050514559761181,0.0,
MSFT,2026-03-11,naive,5,0.02031985681221682,0.0,
MSFT,2026-03-11,gbm,5,0.020847310129887435,0.0,
MSFT,2026-03-11,arima,5,0.021607248948191354,0.0,
MSFT,2026-03-11,chronos,5,0.02766281345830643,0.0,
MSFT,2026-03-11,naive,21,0.07381399313011883,0.0,
MSFT,2026-03-11,gbm,21,0.07735350814564869,0.0,
MSFT,2026-03-11,arima,21,0.07897602094061625,0.0,
MSFT,2026-03-11,chronos,21,0.11074833475006989,0.0,
NVDA,2025-05-08,naive,5,0.08354468834383114,0.0,
NVDA,2025-05-08,gbm,5,0.08099515952142841,1.0,
NVDA,2025-05-08,arima,5,0.07832693197914319,1.0,
NVDA,2025-05-08,chronos,5,0.0828844256085254,1.0,
NVDA,2025-05-08,naive,21,0.12996427417177694,0.0,
NVDA,2025-05-08,gbm,21,0.11610509805583619,1.0,
NVDA,2025-05-08,arima,21,0.10921597823043386,1.0,
NVDA,2025-05-08,chronos,21,0.11450170274571095,1.0,
NVDA,2025-07-10,naive,5,0.03469459413074022,0.0,
NVDA,2025-07-10,gbm,5,0.03044344646222331,1.0,
NVDA,2025-07-10,arima,5,0.02851273381052465,1.0,
NVDA,2025-07-10,chronos,5,0.027437804760614186,0.0,
NVDA,2025-07-10,naive,21,0.06393938655815085,0.0,
NVDA,2025-07-10,gbm,21,0.04616493117181356,1.0,
NVDA,2025-07-10,arima,21,0.04043856239447589,1.0,
NVDA,2025-07-10,chronos,21,0.06043031281739466,1.0,
NVDA,2025-09-09,naive,5,0.04904937353657478,0.0,
NVDA,2025-09-09,gbm,5,0.044920652045147155,0.0,
NVDA,2025-09-09,arima,5,0.042706301121258214,0.0,
NVDA,2025-09-09,chronos,5,0.029046320328033635,1.0,
NVDA,2025-09-09,naive,21,0.06789797465111634,0.0,
NVDA,2025-09-09,gbm,21,0.050617763125593254,1.0,
NVDA,2025-09-09,arima,21,0.04489265622693719,1.0,
NVDA,2025-09-09,chronos,21,0.04799617831566301,1.0,
NVDA,2025-11-06,naive,5,0.023877896992320125,0.0,
NVDA,2025-11-06,gbm,5,0.027355090418385675,0.0,
NVDA,2025-11-06,arima,5,0.029616947244283254,0.0,
NVDA,2025-11-06,chronos,5,0.03109595259166211,0.0,
NVDA,2025-11-06,naive,21,0.06067631960982195,0.0,
NVDA,2025-11-06,gbm,21,0.08125891541246552,0.0,
NVDA,2025-11-06,arima,21,0.08868120657396499,0.0,
NVDA,2025-11-06,chronos,21,0.07366399929208049,0.0,
NVDA,2026-01-08,naive,5,0.02138186727837075,1.0,
NVDA,2026-01-08,gbm,5,0.025689987040146172,1.0,
NVDA,2026-01-08,arima,5,0.02786742696838624,1.0,
NVDA,2026-01-08,chronos,5,0.043337005740409246,1.0,
NVDA,2026-01-08,naive,21,0.027765046356800188,1.0,
NVDA,2026-01-08,gbm,21,0.04228333754345383,1.0,
NVDA,2026-01-08,arima,21,0.04837589215231382,1.0,
NVDA,2026-01-08,chronos,21,0.06285319405368786,1.0,
NVDA,2026-03-11,naive,5,0.016399196162166188,1.0,
NVDA,2026-03-11,gbm,5,0.020441745864052792,0.0,
NVDA,2026-03-11,arima,5,0.02297205119783439,0.0,
NVDA,2026-03-11,chronos,5,0.02846472781856666,0.0,
NVDA,2026-03-11,naive,21,0.04271857234740552,0.0,
NVDA,2026-03-11,gbm,21,0.05882801367529681,1.0,
NVDA,2026-03-11,arima,21,0.0653714392724412,1.0,
NVDA,2026-03-11,chronos,21,0.0661681185241661,1.0,
AMZN,2025-05-08,naive,5,0.08158720620864937,0.0,
AMZN,2025-05-08,gbm,5,0.08235051836133381,0.0,
