model,horizon,mape_mean,mape_std,dir_acc_mean,n
arima,5,0.028603308071758256,0.018203974657253832,0.375,48
arima,21,0.04921479509797804,0.025296914349602184,0.6041666666666666,48
chronos,5,0.029285832017808697,0.018332030858915476,0.4375,48
chronos,21,0.05107017165364544,0.02703671848654085,0.5416666666666666,48
gbm,5,0.028553433923602142,0.018571271290120716,0.3541666666666667,48
gbm,21,0.04895866108123006,0.025395583945814395,0.6041666666666666,48
naive,5,0.028545629503812345,0.018945801067976723,0.3541666666666667,48
naive,21,0.04956017636977624,0.02563602809530002,0.4166666666666667,48
